dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/talip/VKBR16;article;2017-01-04;"Query Expansion in Resource-Scarce Languages: A Multilingual Framework Utilizing Document Structure.";"";"2016";"ACM Trans. Asian & Low-Resource Lang. Inf. Process.";"http://doi.acm.org/10.1145/2997643";0
journals/talip/JainL16;article;2017-01-03;"Fuzzy Hindi WordNet and Word Sense Disambiguation Using Fuzzy Graph Connectivity Measures.";"";"2016";"ACM Trans. Asian & Low-Resource Lang. Inf. Process.";"http://doi.acm.org/10.1145/2790079";0
journals/talip/LiuCHCWYH17;article;2017-10-05;"A Position-Aware Language Modeling Framework for Extractive Broadcast News Speech Summarization.";"";"2017";"ACM Trans. Asian & Low-Resource Lang. Inf. Process.";"http://doi.acm.org/10.1145/3099472";0
journals/talip/SarigilYAOU16;article;2017-01-03;"A "Suggested" Picture of Web Search in Turkish.";"";"2016";"ACM Trans. Asian & Low-Resource Lang. Inf. Process.";"http://doi.acm.org/10.1145/2891105";0
journals/talip/Abuaiadah16;article;2017-01-03;"Using Bisect K-Means Clustering Technique in the Analysis of Arabic Documents.";"";"2016";"ACM Trans. Asian & Low-Resource Lang. Inf. Process.";"http://doi.acm.org/10.1145/2812809";0
journals/talip/LiuCDM15;article;2017-01-03;"A Hybrid Ranking Approach to Chinese Spelling Check.";"";"2015";"ACM Trans. Asian & Low-Resource Lang. Inf. Process.";"http://doi.acm.org/10.1145/2822264";0
journals/talip/KhandujaNP16;article;2017-01-03;"A Hybrid Feature Extraction Algorithm for Devanagari Script.";"";"2016";"ACM Trans. Asian & Low-Resource Lang. Inf. Process.";"http://doi.acm.org/10.1145/2710018";0
journals/talip/HakroT16;article;2017-01-03;"Printed Text Image Database for Sindhi OCR.";"";"2016";"ACM Trans. Asian & Low-Resource Lang. Inf. Process.";"http://doi.acm.org/10.1145/2846093";0
journals/talip/Sproat15;article;2016-11-22;"TALLIP Perspectives: Editorial Commentary: The Broadened Focus of the Journal.";"";"2015";"ACM Trans. Asian & Low-Resource Lang. Inf. Process.";"http://doi.acm.org/10.1145/2710043";0
journals/talip/PassbanLW16;article;2017-01-03;"Boosting Neural POS Tagger for Farsi Using Morphological Information.";"";"2016";"ACM Trans. Asian & Low-Resource Lang. Inf. Process.";"http://dl.acm.org/citation.cfm?id=2934676";0
journals/talip/LiuDM15;article;2016-11-22;"Multilingual Topic Models for Bilingual Dictionary Extraction.";"";"2015";"ACM Trans. Asian & Low-Resource Lang. Inf. Process.";"http://doi.acm.org/10.1145/2699939";0
journals/talip/ZhaoHDC16;article;2017-01-03;"Adaptation of Language Models for SMT Using Neural Networks with Topic Information.";"";"2016";"ACM Trans. Asian & Low-Resource Lang. Inf. Process.";"http://doi.acm.org/10.1145/2816816";0
journals/talip/WangL16;article;2017-01-03;"Constructing Complex Search Tasks with Coherent Subtask Search Goals.";"";"2016";"ACM Trans. Asian & Low-Resource Lang. Inf. Process.";"http://doi.acm.org/10.1145/2742547";0
journals/talip/LiuC16;article;2017-01-03;"A Seed-Based Method for Generating Chinese Confusion Sets.";"";"2016";"ACM Trans. Asian & Low-Resource Lang. Inf. Process.";"http://dl.acm.org/citation.cfm?id=2933396";0
journals/talip/ZhangLLZZ15;article;2017-06-21;"Towards Machine Translation in Semantic Vector Space.";"";"2015";"ACM Trans. Asian & Low-Resource Lang. Inf. Process.";"http://doi.acm.org/10.1145/2699927";0
journals/talip/Costa-JussaC16;article;2017-01-03;"Description of the Chinese-to-Spanish Rule-Based Machine Translation System Developed Using a Hybrid Combination of Human Annotation and Statistical Techniques.";"";"2016";"ACM Trans. Asian & Low-Resource Lang. Inf. Process.";"http://doi.acm.org/10.1145/2738045";0
journals/talip/SundaramR15;article;2016-11-22;"Bigram Language Models and Reevaluation Strategy for Improved Recognition of Online Handwritten Tamil Words.";"";"2015";"ACM Trans. Asian & Low-Resource Lang. Inf. Process.";"http://doi.acm.org/10.1145/2671014";0
journals/talip/LiZS15;article;2016-11-22;"A Unified Model for Solving the OOV Problem of Chinese Word Segmentation.";"";"2015";"ACM Trans. Asian & Low-Resource Lang. Inf. Process.";"http://doi.acm.org/10.1145/2699940";0
journals/talip/TranDN16;article;2017-01-04;"Word Re-Segmentation in Chinese-Vietnamese Machine Translation.";"";"2016";"ACM Trans. Asian & Low-Resource Lang. Inf. Process.";"http://doi.acm.org/10.1145/2988237";0
journals/talip/KrishnamurthiPB16;article;2017-01-03;"Understanding Document Semantics from Summaries: A Case Study on Hindi Texts.";"";"2016";"ACM Trans. Asian & Low-Resource Lang. Inf. Process.";"http://dl.acm.org/citation.cfm?id=2956236";0
journals/talip/ShatnawiA16;article;2017-01-03;"Improving Handwritten Arabic Character Recognition by Modeling Human Handwriting Distortions.";"";"2016";"ACM Trans. Asian & Low-Resource Lang. Inf. Process.";"http://doi.acm.org/10.1145/2764456";0
journals/talip/BhatBS17;article;2017-04-18;"Improving Transition-Based Dependency Parsing of Hindi and Urdu by Modeling Syntactically Relevant Phenomena.";"";"2017";"ACM Trans. Asian & Low-Resource Lang. Inf. Process.";"http://doi.acm.org/10.1145/3005447";0
journals/talip/LeeLWL15;article;2017-01-03;"Introduction to the Special Issue on Chinese Spell Checking.";"";"2015";"ACM Trans. Asian & Low-Resource Lang. Inf. Process.";"http://doi.acm.org/10.1145/2818354";0
journals/talip/KumariR15;article;2016-11-22;"Improving Telugu Dependency Parsing using Combinatory Categorial Grammar Supertags.";"";"2015";"ACM Trans. Asian & Low-Resource Lang. Inf. Process.";"http://doi.acm.org/10.1145/2693190.2693191";0
journals/talip/ZhaoCXWJ17;article;2017-04-18;"A Hybrid Model for Chinese Spelling Check.";"";"2017";"ACM Trans. Asian & Low-Resource Lang. Inf. Process.";"http://doi.acm.org/10.1145/3047405";0
journals/talip/NguyenDT16;article;2017-01-04;"An Approach to Construct a Named Entity Annotated English-Vietnamese Bilingual Corpus.";"";"2016";"ACM Trans. Asian & Low-Resource Lang. Inf. Process.";"http://doi.acm.org/10.1145/2990191";0
journals/talip/WangZ17;article;2017-04-18;"Comparison Study on Critical Components in Composition Model for Phrase Representation.";"";"2017";"ACM Trans. Asian & Low-Resource Lang. Inf. Process.";"http://doi.acm.org/10.1145/3010088";0
journals/talip/DingTUS16;article;2017-01-03;"Word Segmentation for Burmese (Myanmar).";"";"2016";"ACM Trans. Asian & Low-Resource Lang. Inf. Process.";"http://doi.acm.org/10.1145/2846095";0
journals/talip/YehCS15;article;2017-01-03;"Chinese Spelling Checker Based on an Inverted Index List with a Rescoring Mechanism.";"";"2015";"ACM Trans. Asian & Low-Resource Lang. Inf. Process.";"http://doi.acm.org/10.1145/2826235";0
journals/talip/DasGG17;article;2017-04-18;"Named Entity Recognition with Word Embeddings and Wikipedia Categories for a Low-Resource Language.";"";"2017";"ACM Trans. Asian & Low-Resource Lang. Inf. Process.";"http://doi.acm.org/10.1145/3015467";0
journals/talip/KongZ17;article;2017-10-05;"A CDT-Styled End-to-End Chinese Discourse Parser.";"";"2017";"ACM Trans. Asian & Low-Resource Lang. Inf. Process.";"http://doi.acm.org/10.1145/3099557";0
journals/talip/ChakrabartyG16;article;2017-01-03;"BenLem (A Bengali Lemmatizer) and Its Role in WSD.";"";"2016";"ACM Trans. Asian & Low-Resource Lang. Inf. Process.";"http://doi.acm.org/10.1145/2835494";0
journals/talip/DingSTY16;article;2017-01-03;"Inter-, Intra-, and Extra-Chunk Pre-Ordering for Statistical Japanese-to-English Machine Translation.";"";"2016";"ACM Trans. Asian & Low-Resource Lang. Inf. Process.";"http://doi.acm.org/10.1145/2818381";0
journals/talip/SadekM16;article;2017-01-03;"Extracting Arabic Causal Relations Using Linguistic Patterns.";"";"2016";"ACM Trans. Asian & Low-Resource Lang. Inf. Process.";"http://doi.acm.org/10.1145/2800786";0
journals/talip/Yeh16;article;2017-01-03;"Speech Act Identification Using Semantic Dependency Graphs with Probabilistic Context-Free Grammars.";"";"2016";"ACM Trans. Asian & Low-Resource Lang. Inf. Process.";"http://doi.acm.org/10.1145/2786978";0
journals/talip/El-FiqiPA16;article;2017-01-03;"Pairwise Comparative Classification for Translator Stylometric Analysis.";"";"2016";"ACM Trans. Asian & Low-Resource Lang. Inf. Process.";"http://dl.acm.org/citation.cfm?id=2898997";0
journals/talip/GotoUSK15;article;2016-11-22;"Preordering using a Target-Language Parser via Cross-Language Syntactic Projection for Statistical Machine Translation.";"";"2015";"ACM Trans. Asian & Low-Resource Lang. Inf. Process.";"http://doi.acm.org/10.1145/2699925";0
journals/talip/FinchHTS17;article;2017-04-18;"Inducing a Bilingual Lexicon from Short Parallel Multiword Sequences.";"";"2017";"ACM Trans. Asian & Low-Resource Lang. Inf. Process.";"http://doi.acm.org/10.1145/3003726";0
journals/talip/TholpadiBS17;article;2017-08-16;"Corpus-Based Translation Induction in Indian Languages Using Auxiliary Language Corpora from Wikipedia.";"";"2017";"ACM Trans. Asian & Low-Resource Lang. Inf. Process.";"http://doi.acm.org/10.1145/3038295";0
journals/talip/LiZZ16;article;2017-01-04;"Minimally Supervised Chinese Event Extraction from Multiple Views.";"";"2016";"ACM Trans. Asian & Low-Resource Lang. Inf. Process.";"http://doi.acm.org/10.1145/2994600";0
journals/talip/ChouCH16;article;2017-01-04;"Boosted Web Named Entity Recognition via Tri-Training.";"";"2016";"ACM Trans. Asian & Low-Resource Lang. Inf. Process.";"http://doi.acm.org/10.1145/2963100";0
journals/talip/ChoudharyN16;article;2017-01-03;"A Four-Tier Annotated Urdu Handwritten Text Image Dataset for Multidisciplinary Research on Urdu Script.";"";"2016";"ACM Trans. Asian & Low-Resource Lang. Inf. Process.";"http://doi.acm.org/10.1145/2857053";0
journals/talip/QiaoCZ16;article;2017-01-03;"Improving Unsupervised Dependency Parsing with Knowledge from Query Logs.";"";"2016";"ACM Trans. Asian & Low-Resource Lang. Inf. Process.";"http://dl.acm.org/citation.cfm?id=2903720";0
journals/talip/UematsuMHMM15;article;2017-09-16;"Integrating Multiple Dependency Corpora for Inducing Wide-Coverage Japanese CCG Resources.";"";"2015";"ACM Trans. Asian & Low-Resource Lang. Inf. Process.";"http://doi.acm.org/10.1145/2658997";0
journals/talip/WangUGSZL16;article;2017-08-21;"Converting Continuous-Space Language Models into ";"";"2016";"ACM Trans. Asian & Low-Resource Lang. Inf. Process.";"http://doi.acm.org/10.1145/2843942";0
journals/talip/NorimatsuYTY16;article;2017-01-03;"A Fast and Compact Language Model Implementation Using Double-Array Structures.";"";"2016";"ACM Trans. Asian & Low-Resource Lang. Inf. Process.";"http://doi.acm.org/10.1145/2873068";0
journals/talip/LiWLX16;article;2017-01-03;"Modeling Monolingual Character Alignment for Automatic Evaluation of Chinese Translation.";"";"2016";"ACM Trans. Asian & Low-Resource Lang. Inf. Process.";"http://doi.acm.org/10.1145/2815619";0
journals/talip/ShenWT15;article;2017-01-17;"Model Generation of Accented Speech using Model Transformation and Verification for Bilingual Speech Recognition.";"";"2015";"ACM Trans. Asian & Low-Resource Lang. Inf. Process.";"http://doi.acm.org/10.1145/2661637";0
journals/talip/SinghSC16;article;2017-01-03;"Online Handwritten Gurmukhi Strokes Dataset Based on Minimal Set of Words.";"";"2016";"ACM Trans. Asian & Low-Resource Lang. Inf. Process.";"http://dl.acm.org/citation.cfm?id=2896318";0
journals/talip/ZhouHZZCDCC16;article;2017-01-03;"Enhancing Shift-Reduce Constituent Parsing with Action N-Gram Model.";"";"2016";"ACM Trans. Asian & Low-Resource Lang. Inf. Process.";"http://doi.acm.org/10.1145/2820902";0
journals/talip/SallabBHSEB17;article;2017-10-05;"AROMA: A Recursive Deep Learning Model for Opinion Mining in Arabic as a Low Resource Language.";"";"2017";"ACM Trans. Asian & Low-Resource Lang. Inf. Process.";"http://doi.acm.org/10.1145/3086575";0
journals/talip/WushouerLIH16;article;2017-06-15;"A Constraint Approach to Pivot-Based Bilingual Dictionary Induction.";"";"2016";"ACM Trans. Asian & Low-Resource Lang. Inf. Process.";"http://doi.acm.org/10.1145/2723144";0
journals/talip/PhaniLB17;article;2017-10-05;"A Supervised Learning Approach for Authorship Attribution of Bengali Literary Texts.";"";"2017";"ACM Trans. Asian & Low-Resource Lang. Inf. Process.";"http://doi.acm.org/10.1145/3099473";0
journals/talip/ElayebB16;article;2017-01-03;"Arabic Cross-Language Information Retrieval: A Review.";"";"2016";"ACM Trans. Asian & Low-Resource Lang. Inf. Process.";"http://doi.acm.org/10.1145/2789210";0
journals/talip/YangZZ16;article;2017-01-03;"Bilingual Semantic Role Labeling Inference via Dual Decomposition.";"";"2016";"ACM Trans. Asian & Low-Resource Lang. Inf. Process.";"http://doi.acm.org/10.1145/2835493";0
journals/talip/BhowmikPRS16;article;2017-01-03;"Bangla Handwritten Character Segmentation Using Structural Features: A Supervised and Bootstrapping Approach.";"";"2016";"ACM Trans. Asian & Low-Resource Lang. Inf. Process.";"http://doi.acm.org/10.1145/2890497";0
journals/talip/BalyHHSE17;article;2017-10-05;"A Sentiment Treebank and Morphologically Enriched Recursive Deep Models for Effective Sentiment Analysis in Arabic.";"";"2017";"ACM Trans. Asian & Low-Resource Lang. Inf. Process.";"http://doi.acm.org/10.1145/3086576";0
journals/talip/RamrakhiyaniM15;article;2016-11-22;"Approaches to Temporal Expression Recognition in Hindi.";"";"2015";"ACM Trans. Asian & Low-Resource Lang. Inf. Process.";"http://doi.acm.org/10.1145/2629574";0
journals/talip/KetuiTO15;article;2016-11-22;"An EDU-Based Approach for Thai Multi-Document Summarization and Its Application.";"";"2015";"ACM Trans. Asian & Low-Resource Lang. Inf. Process.";"http://doi.acm.org/10.1145/2641567";0
journals/talip/HsiehBHC15;article;2017-01-03;"Correcting Chinese Spelling Errors with Word Lattice Decoding.";"";"2015";"ACM Trans. Asian & Low-Resource Lang. Inf. Process.";"http://doi.acm.org/10.1145/2791389";0
journals/talip/TursunGOYAZL16;article;2017-01-05;"A Semisupervised Tag-Transition-Based Markovian Model for Uyghur Morphology Analysis.";"";"2016";"ACM Trans. Asian & Low-Resource Lang. Inf. Process.";"http://doi.acm.org/10.1145/2968410";0
journals/talip/Awajan15;article;2016-11-22;"Keyword Extraction from Arabic Documents using Term Equivalence Classes.";"";"2015";"ACM Trans. Asian & Low-Resource Lang. Inf. Process.";"http://doi.acm.org/10.1145/2665077";0
journals/talip/SadekM16a;article;2017-01-04;"A Discourse-Based Approach for Arabic Question Answering.";"";"2016";"ACM Trans. Asian & Low-Resource Lang. Inf. Process.";"http://doi.acm.org/10.1145/2988238";0
journals/talip/X15;article;2017-01-03;"TALLIP Perspectives: Editorial Commentary: The State of the Journal.";"";"2015";"ACM Trans. Asian & Low-Resource Lang. Inf. Process.";"http://doi.acm.org/10.1145/2823512";0
