dblpkey;tag;mdate;title;booktitle;year;journal;ee;contains
journals/tcsv/MinooN07;article;2017-05-26;"Reciprocal Subpixel Motion Estimation: Video Coding With Limited Hardware Resources.";"";"2007";"IEEE Trans. Circuits Syst. Video Techn.";"https://doi.org/10.1109/TCSVT.2007.896647";0
journals/tcsv/LoFC97;article;2017-05-26;"Dynamic addressing scheme for vector quantization of images.";"";"1997";"IEEE Trans. Circuits Syst. Video Techn.";"https://doi.org/10.1109/76.633503";0
journals/tcsv/LinW98;article;2017-06-08;"A lightweight genetic block-matching algorithm for video coding.";"";"1998";"IEEE Trans. Circuits Syst. Video Techn.";"https://doi.org/10.1109/76.709405";0
journals/tcsv/MagnorG00;article;2017-05-26;"Data compression for light-field rendering.";"";"2000";"IEEE Trans. Circuits Syst. Video Techn.";"https://doi.org/10.1109/76.836278";0
journals/tcsv/AhmadC05;article;2017-05-26;"A Heuristic Approach for Finding Best Focused Shape.";"";"2005";"IEEE Trans. Circuits Syst. Video Techn.";"https://doi.org/10.1109/TCSVT.2005.844450";0
journals/tcsv/WangZW12;article;2017-05-26;"Structure and Motion Recovery Based on Spatial-and-Temporal-Weighted Factorization.";"";"2012";"IEEE Trans. Circuits Syst. Video Techn.";"https://doi.org/10.1109/TCSVT.2012.2201795";0
journals/tcsv/ZhaoZMG12;article;2017-05-26;"Video Coding With Rate-Distortion Optimized Transform.";"";"2012";"IEEE Trans. Circuits Syst. Video Techn.";"https://doi.org/10.1109/TCSVT.2011.2158363";0
journals/tcsv/YanHXZZC07;article;2017-05-26;"Nonlinear Discriminant Analysis on Embedded Manifold.";"";"2007";"IEEE Trans. Circuits Syst. Video Techn.";"https://doi.org/10.1109/TCSVT.2007.893837";0
journals/tcsv/NaccariP11;article;2017-06-08;"Advanced H.264/AVC-Based Perceptual Video Coding: Architecture, Tools, and Assessment.";"";"2011";"IEEE Trans. Circuits Syst. Video Techn.";"https://doi.org/10.1109/TCSVT.2011.2130430";0
journals/tcsv/LinSD15;article;2017-05-26;"Extracting Depth and Radiance From a Defocused Video Pair.";"";"2015";"IEEE Trans. Circuits Syst. Video Techn.";"https://doi.org/10.1109/TCSVT.2014.2339611";0
journals/tcsv/HelleOBMBUJCW12;article;2017-05-26;"Block Merging for Quadtree-Based Partitioning in HEVC.";"";"2012";"IEEE Trans. Circuits Syst. Video Techn.";"https://doi.org/10.1109/TCSVT.2012.2223051";0
journals/tcsv/LiSK05;article;2017-05-26;"MINMAX optimal video summarization.";"";"2005";"IEEE Trans. Circuits Syst. Video Techn.";"https://doi.org/10.1109/TCSVT.2005.854230";0
journals/tcsv/LandabasoP08;article;2017-06-08;"A Unified Framework for Consistent 2-D/3-D Foreground Object Detection.";"";"2008";"IEEE Trans. Circuits Syst. Video Techn.";"https://doi.org/10.1109/TCSVT.2008.928219";0
journals/tcsv/YouKZC04;article;2017-09-15;"On hierarchical palmprint coding with multiple features for personal identification in large databases.";"";"2004";"IEEE Trans. Circuits Syst. Video Techn.";"https://doi.org/10.1109/TCSVT.2003.821978";0
journals/tcsv/ShimizuKKKY07;article;2017-05-26;"View Scalable Multiview Video Coding Using 3-D Warping With Depth Map.";"";"2007";"IEEE Trans. Circuits Syst. Video Techn.";"https://doi.org/10.1109/TCSVT.2007.903773";0
journals/tcsv/BaoX00;article;2017-05-26;"Image compression using a new discrete multiwavelet transform and a new embedded vector quantization.";"";"2000";"IEEE Trans. Circuits Syst. Video Techn.";"https://doi.org/10.1109/76.867920";0
journals/tcsv/MezarisKS04;article;2017-05-26;"Video object segmentation using Bayes-based temporal tracking and trajectory-based region merging.";"";"2004";"IEEE Trans. Circuits Syst. Video Techn.";"https://doi.org/10.1109/TCSVT.2004.828341";0
journals/tcsv/Moshnyaga01;article;2017-05-26;"A new computationally adaptive formulation of block-matching motion estimation.";"";"2001";"IEEE Trans. Circuits Syst. Video Techn.";"https://doi.org/10.1109/76.894295";0
journals/tcsv/WeiZZXZ11;article;2017-05-26;"Frame Fusion for Video Copy Detection.";"";"2011";"IEEE Trans. Circuits Syst. Video Techn.";"https://doi.org/10.1109/TCSVT.2011.2105554";0
journals/tcsv/PengC13;article;2017-05-26;"An Interframe Prediction Technique Combining Template Matching Prediction and Block-Motion Compensation for High-Efficiency Video Coding.";"";"2013";"IEEE Trans. Circuits Syst. Video Techn.";"https://doi.org/10.1109/TCSVT.2013.2248214";0
journals/tcsv/AngelopoulosP94;article;2017-05-26;"Multichannel Wiener filters in color image restoration.";"";"1994";"IEEE Trans. Circuits Syst. Video Techn.";"https://doi.org/10.1109/76.276174";0
journals/tcsv/QianSLYW06;article;2017-05-26;"Transform domain transcoding from MPEG-2 to H.264 with interpolation drift-error compensation.";"";"2006";"IEEE Trans. Circuits Syst. Video Techn.";"https://doi.org/10.1109/TCSVT.2006.871392";0
journals/tcsv/CorreiaP04;article;2017-06-08;"Classification of video segmentation application scenarios.";"";"2004";"IEEE Trans. Circuits Syst. Video Techn.";"https://doi.org/10.1109/TCSVT.2004.826778";0
